time,open,high,low,close,volume
2023-01-01 00:00:00+00:00,16545.9,16549.3,16515.8,16536.5,82347.0
2023-01-01 01:00:00+00:00,16536.4,16561.6,16533.1,16557.9,55810.0
2023-01-01 02:00:00+00:00,16557.9,16568.5,16544.8,16552.7,64829.0
2023-01-01 03:00:00+00:00,16552.6,16552.6,16525.0,16538.1,73049.0
2023-01-01 04:00:00+00:00,16538.1,16539.6,16516.0,16524.0,92114.0
2023-01-01 05:00:00+00:00,16524.0,16537.3,16514.5,16534.0,60545.0
2023-01-01 06:00:00+00:00,16532.9,16553.8,16532.9,16545.0,57130.0
2023-01-01 07:00:00+00:00,16545.0,16546.9,16503.5,16530.5,139977.0
2023-01-01 08:00:00+00:00,16530.4,16535.1,16510.0,16513.9,71063.0
2023-01-01 09:00:00+00:00,16513.8,16546.1,16506.0,16543.2,73749.0
2023-01-01 10:00:00+00:00,16543.1,16548.8,16538.5,16548.8,66691.0
2023-01-01 11:00:00+00:00,16548.8,16559.8,16543.6,16559.8,52810.0
2023-01-01 12:00:00+00:00,16559.8,16575.4,16550.8,16563.6,99573.0
2023-01-01 13:00:00+00:00,16563.5,16568.7,16538.3,16546.0,59486.0
2023-01-01 14:00:00+00:00,16546.0,16555.4,16539.6,16539.8,39136.0
2023-01-01 15:00:00+00:00,16539.9,16560.0,16532.2,16559.2,44256.0
2023-01-01 16:00:00+00:00,16559.2,16586.2,16558.7,16564.2,128903.0
2023-01-01 17:00:00+00:00,16564.2,16597.5,16564.2,16579.9,113085.0
2023-01-01 18:00:00+00:00,16580.0,16602.5,16580.0,16592.0,98461.0
2023-01-01 19:00:00+00:00,16592.0,16626.3,16592.0,16603.7,118685.0
2023-01-01 20:00:00+00:00,16603.8,16626.9,16601.6,16601.6,50347.0
2023-01-01 21:00:00+00:00,16601.7,16606.9,16590.1,16605.0,51946.0
2023-01-01 22:00:00+00:00,16605.1,16610.7,16585.9,16601.9,51815.0
2023-01-01 23:00:00+00:00,16602.0,16623.1,16601.9,16614.9,58798.0
2023-01-02 00:00:00+00:00,16614.8,16624.8,16579.3,16584.8,77574.0
2023-01-02 01:00:00+00:00,16584.8,16585.7,16545.9,16564.8,198618.0
2023-01-02 02:00:00+00:00,16564.8,16595.4,16555.8,16588.6,55530.0
2023-01-02 03:00:00+00:00,16588.5,16719.0,16583.5,16665.5,448554.0
2023-01-02 04:00:00+00:00,16665.5,16674.9,16628.7,16638.6,158402.0
2023-01-02 05:00:00+00:00,16638.7,16657.0,16619.4,16645.0,147301.0
2023-01-02 06:00:00+00:00,16645.0,16660.0,16634.0,16638.9,68188.0
2023-01-02 07:00:00+00:00,16638.9,16769.9,16636.6,16717.8,783394.0
2023-01-02 08:00:00+00:00,16717.8,16768.3,16706.8,16731.6,280266.0
2023-01-02 09:00:00+00:00,16731.5,16743.7,16713.3,16716.5,134405.0
2023-01-02 10:00:00+00:00,16716.4,16762.2,16710.0,16725.7,151105.0
2023-01-02 11:00:00+00:00,16725.7,16739.0,16702.9,16734.7,89626.0
2023-01-02 12:00:00+00:00,16734.7,16743.2,16720.0,16720.1,58787.0
2023-01-02 13:00:00+00:00,16720.0,16723.1,16682.6,16696.8,144404.0
2023-01-02 14:00:00+00:00,16696.0,16712.1,16672.4,16701.4,178680.0
2023-01-02 15:00:00+00:00,16701.4,16752.5,16695.8,16737.0,207813.0
2023-01-02 16:00:00+00:00,16737.0,16739.6,16707.6,16708.8,104088.0
2023-01-02 17:00:00+00:00,16708.9,16721.1,16707.0,16714.6,37212.0
2023-01-02 18:00:00+00:00,16714.6,16733.3,16708.8,16724.7,38076.0
2023-01-02 19:00:00+00:00,16725.1,16737.4,16719.2,16737.4,27623.0
2023-01-02 20:00:00+00:00,16737.3,16737.4,16710.5,16730.2,37693.0
2023-01-02 21:00:00+00:00,16730.2,16805.0,16721.2,16759.4,178749.0
2023-01-02 22:00:00+00:00,16759.4,16763.9,16689.0,16701.1,135543.0
2023-01-02 23:00:00+00:00,16701.2,16723.6,16660.0,16673.1,179039.0
2023-01-03 00:00:00+00:00,16673.2,16708.0,16650.1,16695.9,151215.0
2023-01-03 01:00:00+00:00,16694.8,16694.9,16652.1,16676.7,140689.0
2023-01-03 02:00:00+00:00,16676.6,16687.3,16671.5,16672.1,63647.0
2023-01-03 03:00:00+00:00,16672.2,16699.0,16667.0,16691.2,73005.0
2023-01-03 04:00:00+00:00,16691.3,16696.6,16683.0,16686.9,44102.0
2023-01-03 05:00:00+00:00,16686.8,16727.0,16685.0,16726.9,113777.0
2023-01-03 06:00:00+00:00,16726.9,16777.0,16722.5,16725.1,306414.0
2023-01-03 07:00:00+00:00,16725.1,16731.6,16706.5,16729.9,135384.0
2023-01-03 08:00:00+00:00,16730.0,16734.5,16700.0,16716.7,110869.0
2023-01-03 09:00:00+00:00,16716.7,16758.4,16716.7,16741.1,115153.0
2023-01-03 10:00:00+00:00,16741.2,16747.5,16721.3,16723.5,78448.0
2023-01-03 11:00:00+00:00,16723.4,16736.2,16710.5,16720.4,57357.0
2023-01-03 12:00:00+00:00,16720.4,16725.7,16703.3,16710.5,85066.0
2023-01-03 13:00:00+00:00,16710.1,16738.1,16710.0,16724.9,79475.0
2023-01-03 14:00:00+00:00,16725.0,16775.9,16641.0,16663.0,570213.0
2023-01-03 15:00:00+00:00,16663.0,16684.7,16620.1,16680.3,486995.0
2023-01-03 16:00:00+00:00,16680.3,16690.3,16615.3,16625.5,351089.0
2023-01-03 17:00:00+00:00,16625.5,16648.0,16611.4,16638.0,184706.0
2023-01-03 18:00:00+00:00,16637.9,16657.0,16632.9,16649.4,56202.0
2023-01-03 19:00:00+00:00,16649.4,16661.7,16628.5,16648.8,55197.0
2023-01-03 20:00:00+00:00,16648.9,16676.5,16647.0,16668.2,122194.0
2023-01-03 21:00:00+00:00,16668.2,16680.0,16665.4,16673.2,92182.0
2023-01-03 22:00:00+00:00,16673.0,16683.0,16656.0,16681.0,65555.0
2023-01-03 23:00:00+00:00,16681.1,16698.9,16672.9,16678.2,85889.0
2023-01-04 00:00:00+00:00,16678.3,16678.4,16656.0,16665.0,87092.0
2023-01-04 01:00:00+00:00,16665.0,16738.1,16661.5,16704.9,368006.0
2023-01-04 02:00:00+00:00,16704.9,16758.0,16704.9,16734.4,333350.0
2023-01-04 03:00:00+00:00,16734.5,16876.9,16734.4,16864.5,1027507.0
2023-01-04 04:00:00+00:00,16862.8,16910.0,16847.2,16857.2,413933.0
2023-01-04 05:00:00+00:00,16857.2,16862.2,16837.2,16858.2,163932.0
2023-01-04 06:00:00+00:00,16858.2,16878.7,16850.1,16878.7,109508.0
2023-01-04 07:00:00+00:00,16878.6,16890.0,16848.0,16872.2,187635.0
2023-01-04 08:00:00+00:00,16872.1,16919.0,16832.8,16864.5,336509.0
2023-01-04 09:00:00+00:00,16864.4,16866.7,16836.7,16848.2,128139.0
